MovieId,Title,Tmdb_id,vote_average,vote_count,popularity,overview,,,,,,,,,,,,,,
13,Amy,490842,0,0,0.6,AMY is short film directed by Rithin Joseph with editing & VFX by Jobin Joseph of Petrova Films.,,,,,,,,,,,,,,
14,Anomalisa,291270,7,804,7.634,A man crippled by the mundanity of his life experiences something out of the ordinary.,,,,,,,,,,,,,,
15,April and the Extraordinary World,340357,6.9,111,4.883,"France asleep in the nineteenth century, governed by steam and Napoleon VI, where scientists vanish mysteriously, a girl, Avril, goes in search of her missing scientist parents.",,,,,,,,,,,,,,
16,Attack on Titan,295830,5.2,245,7.788,"100 years ago, titans suddenly appeared on Earth. Soon, human civilization veered on collapse due to the titans. Humans then built a giant wall to defend themselves. Within the giant walls, humans lived in peace, but, 100 years later, the giant wall is broken.",,,,,,,,,,,,,,
17,Ava's Possessions,323665,5.8,61,2.635,"Ava is recovering from demonic possession. With no memory of the past month, she must attend a Spirit Possessions Anonymous support group to figure out what happened. Ava's life was hijacked by a demon, now it's time to get it back.",,,,,,,,,,,,,,
18,Avengers Grimm,323660,3.9,51,3.403,"When Rumpelstiltskin destroys the Magic Mirror and escapes to the modern world, the four princesses of Once Upon a Time""-Cinderella", Sleeping Beauty, Snow White, and Rapunzel-are sucked through the portal too. Well-trained and endowed with magical powers," the four women must fight Rumpelstiltskin and his army of thralls before he enslaves everyone on Earth.""",,,,,,,,,,
19,The Bad Education Movie,348296,5.7,65,2.975,Mr Wickers and his class go on one final school trip after they finish their GCSEs.,,,,,,,,,,,,,,
20,Band of Robbers,333675,6.3,58,2.242,"A comedic thriller that re-imagines Mark Twain's iconic literary characters of Huckleberry Finn"" and ""Tom Sawyer"" as grown men in current day.""",,,,,,,,,,,,,,
21,Barely Lethal,248574,5.6,520,9.045,"A 16-year-old international assassin yearning for a normal"" adolescence fakes her own death and enrolls as a senior in a suburban high school. She quickly learns that being popular can be more painful than getting water-boarded.""",,,,,,,,,,,,,,
22,Baskin,334388,6.8,5,0.75,Police summoned to an apartment building make a horrifying discovery.,,,,,,,,,,,,,,
23,Beasts of No Nation,283587,7.6,759,7.732,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country. Follows the journey of a young boy, Agu, who is forced to join a group of soldiers in a fictional West African country. While Agu fears his commander and many of the men around him, his fledgling childhood has been brutally shattered by the war raging through his country, and he is at first torn between conflicting revulsion and fascination Depicts the mechanics of war and does not shy away from explicit, visceral detail, and paints a complex, difficult picture of Agu as a child soldier.",,,,,,,,,,,,,,
24,Big Game,230179,5.4,567,7.659,"Air Force One is shot down by terrorists, leaving the President of the United States stranded in the wilderness. 13-year old Oskari is also in that wilderness, on a hunting mission to prove his maturity to his kinsfolk by tracking down a deer, but instead discovers the President in an escape pod. With the terrorists closing in to capture their prize, the unlikely duo team up to escape their hunters.",,,,,,,,,,,,,,
24,Big Game,240485,6,1,0.6,"It's Bobo's birthday, but sadly no one showed up to his party. A big game hunter figures it's the perfect opportunity to capture the fearsome monster—by throwing Bobo the birthday party of his dreams.",,,,,,,,,,,,,,
25,The Big Short,318846,7.3,3929,10.644,The men who made millions from a global economic meltdown.,,,,,,,,,,,,,,
26,Bill,338913,7,29,1.908,What really happened during Shakespeare's 'Lost Years'? Hopeless lute player Bill Shakespeare leaves his home to follow his dream.,,,,,,,,,,,,,,
27,Bite,347642,5,53,2.775,"While on her bachelorette party getaway, Casey, the bride to be, gets a seemingly harmless bite from an unknown insect. After returning home with cold feet, Casey tries to call off her wedding but before she's able to, she starts exhibiting insect like traits. Between her physical transformation and her wedding anxiety, Casey succumbs to her new instincts and begins creating a hive that not only houses her translucent eggs, but feeds on the flesh of others. As her transformation becomes complete, Casey discovers that everything can change with a single bite.",,,,,,,,,,,,,,
27,Bite,563168,0,0,0.714,"Taiwan is overrun by zombies. A-Huo along with his wife, Gui-Chun, runs to a fishing harbor but misses the ferry they want to take. They decide to hide in an office of Fishermen's Association and get some rest.  Gui-Chun is so exhausted. It is not until the moment when she asks him, 'what will you do if I am bitten by a zombie?' that A-Huo notices a bleeding bite on her arm.",,,,,,,,,,,,,,
27,Bite,515162,0,0,0.6,"Pursued by a dangerous criminal after a failed theft, con artists Nina and Yaz get more than they bargained for when they target a seemingly innocent elderly widow.",,,,,,,,,,,,,,
27,Bite,515427,0,0,0.6,"Bite follows the story of a teenager named Brock whose friends, after Brock meets a mysterious stranger one dark morning, suspect something evil at work in their friend",,,,,,,,,,,,,,
28,Black Mass,261023,6.4,1791,9.929,"The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf.",,,,,,,,,,,,,,
28,Black Mass,455620,10,1,2.718,"A social outcast named James stumbles into a very accepting community, the caveat being that the community is a satanic cult.",,,,,,,,,,,,,,
29,Blackhat,201088,5.2,1065,10.592,A man is released from prison to help American and Chinese authorities pursue a mysterious cyber criminal. The dangerous search leads them from Chicago to Hong Kong.,,,,,,,,,,,,,,
30,Bone Tomahawk,294963,6.7,768,7.17,"During a shootout in a saloon, Sheriff Hunt injures a suspicious stranger. One of the villagers takes care of him in prison. One day they both disappear – only the spear of a cannibal tribe is found. Hunt and a few of his men go in search of the prisoner and his nurse.",,,,,,,,,,,,,,
31,Bound,316410,3.4,40,2.88,"The daughter of a wealthy real estate mogul falls in love with a younger man, and she is introduced to the world of BDSM. With her newly awakened sexual prowess, she is finally able to take control of her life.",,,,,,,,,,,,,,
31,Bound,523771,0,0,0.6,,,,,,,,,,,,,,,
31,Bound,555187,0,0,0.6,"When a group of foreign workers appear at his brother's sawmill, a struggling shopkeeper must face a troubling decision.",,,,,,,,,,,,,,
32,The Boy,321258,5.8,1920,7.492,"An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive.",,,,,,,,,,,,,,
32,The Boy,257444,5.6,75,3.525,An intimate portrait of a 9 year old sociopath as he discovers his taste for killing.,,,,,,,,,,,,,,
33,The Boy Next Door,241251,4.4,1283,6.006,"A recently cheated on married woman falls for a younger man who has moved in next door, but their torrid affair soon takes a dangerous turn.",,,,,,,,,,,,,,
33,The Boy Next Door,44120,5.7,6,1.275,"Mark, a 25-year-old male prostitute who suffers from anxiety attacks accidentally runs into the 10-year-old son of one of his clients. When the boy tells him he is looking for his father Mark, taken by surprise, wants nothing to do with him. But while they wait for the client to return Mark realizes that maybe this unexpected guest was exactly what he needed. Over the course of the night this strange new friendship grows and gives both Mark and Justin the courage to overcome their fears and face their own personal demons.",,,,,,,,,,,,,,
34,The Brand New Testament,330764,6.5,661,5.964,"God lives in Brussels. On earth though, God is a coward, with pathetical morals and being odious with his family. His daughter, Ea, is bored at home and can't stand being locked up in a small apartment in ordinary Brussels, until the day she decides to revolt against her dad...",,,,,,,,,,,,,,
35,Bridge of Spies,296098,7.2,3811,15.979,"During the Cold War, the Soviet Union captures U.S. pilot Francis Gary Powers after shooting down his U-2 spy plane. Sentenced to 10 years in prison, Powers' only hope is New York lawyer James Donovan, recruited by a CIA operative to negotiate his release. Donovan boards a plane to Berlin, hoping to win the young man's freedom through a prisoner exchange. If all goes well, the Russians would get Rudolf Abel, the convicted spy who Donovan defended in court.",,,,,,,,,,,,,,
36,Brooklyn,167073,7.3,1706,10.114,"In 1950s Ireland and New York, young Ellis Lacey has to choose between two men and two countries.",,,,,,,,,,,,,,
36,Brooklyn,402640,2,1,0.6,,,,,,,,,,,,,,,
36,Brooklyn,291678,0,0,0.659,"Coralie runs away from Switzerland. She arrives in Paris to take her chance into Hip Hop music. She’s hired as a cook in a local association in the parisian suburb of Saint-Denis. Coralie meets Issa, the rising star of the hood…",,,,,,,,,,,,,,
37,Burnt,295964,6.4,1523,9.488,"Adam Jones is a Chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars.",,,,,,,,,,,,,,
37,Burnt,548624,0,0,0.6,"In a scorched desert forest, three damaged plant creatures encounter something green.",,,,,,,,,,,,,,
38,Burying the Ex,255798,5.5,203,5.426,"It seemed like a great idea when all-around nice guy Max and his beautiful girlfriend, Evelyn moved in together. But when Evelyn turns out to be a controlling, manipulative nightmare, Max knows it’s time to call it quits. There’s just one problem: he’s terrified of breaking up with her. Fate steps in when Evelyn is the victim of a fatal, freak accident, leaving Max single and ready to mingle. Just as Max is thinking about moving on with what could be his dream girl, Olivia – Evelyn has returned from the grave and is determined to get her boyfriend back...even if that means transforming him into one of the undead.",,,,,,,,,,,,,,
39,The Cannibal in the Jungle,347423,6,2,0.6,"An American scientist who was convicted of killing and cannibalizing two colleagues in the jungles of Flores, Indonesia in 1977.  Branded The American Cannibal"" by the press during his trial", Dr. Timothy Darrow defended himself by claiming a mythic human-ape creature was responsible for the murders.  The news outlet documented an indigenous tribe on Flores, the very same island where the hobbit remains were discovered, which had its own accounts of little wild men that stood just over three feet tall, climbed trees, walked on two feet and thrived on cannibalism. And according to the local legend, those creatures may never have died out at all.  Follow an expedition team deep into the heart of Flores Island to investigate Dr. Timothy Darrow's claims and find out once and for all if hobbits still exist in the deepest," most remote realms of the Indonesian jungle.""",,,,,,,
40,Capture the Flag,413876,0,0,0.6,"Adapted from the novel by Rebecca Chace, Capture the Flag portrays the tenuous relationship between a father and a daughter in the socially turbulent 1970s. Teen-age Annie and her father Luke are about to gather with friends for an annual game of Capture the Flag. This year, a lot more is at stake than the white T-shirt standing in for the flag. Annie's parents are on the verge of divorce, and this is the first time she and her father are participating without Annie's mother. What starts as a joyous reunion soon breaks down as friendships among the adults fracture and new allegiances among the children are formed. Over the course of this weekend, Annie learns that even though some things change, the most important relationships will somehow endure.",,,,,,,,,,,,,,
40,Capture the Flag,300602,6,101,6.279,"When the brave and determined 12-year-old Mike Goldwing discovers that an eccentric billionaire plans to fly to the moon, steal its vast, valuable natural resources, and destroy the American flag planted by the Apollo XI astronauts during man's historic moon landing, the countdown to a spectacular adventure begins! Mike, teamed with his grandfather, best friends Amy and Marty, and a clever chameleon, blasts off on an incredible moon-bound mission, determined to thwart the billionaire's evil plan, capture the flag, and reunite his family.",,,,,,,,,,,,,,
41,Carol,258480,7.4,1610,8.609,"In 1950s New York, a department-store clerk who dreams of a better life falls for an older, married woman.",,,,,,,,,,,,,,
42,Cat Sick Blues,364379,6.4,21,0.767,"When Ted’s beloved cat dies, the trauma triggers a terrible mental breakdown. His broken brain prompts him to bring his feline friend back – all he needs is nine human lives. Ted dons vicious deadly cat claw gloves and a creepy cat mask, and goes on a murderous rampage. As the butchery escalates, a twisted romance blossoms between Ted and Claire, a young woman who has also recently lost her cat in a horrifying incident.",,,,,,,,,,,,,,
42,Cat Sick Blues,408082,0,0,0.6,A man in a mask interrupts a couple's alone time.,,,,,,,,,,,,,,
43,Chappie,198184,6.7,4495,30.808,"Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundings—some good, some bad—and he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.",,,,,,,,,,,,,,
44,Child 44,181283,6.2,803,16.566,"Set in Stalin-era Soviet Union, a disgraced MGB agent is dispatched to investigate a series of child murders -- a case that begins to connect with the very top of party leadership.",,,,,,,,,,,,,,
45,A Christmas Horror Story,311539,5.6,138,4.972,"Christmas is supposed to be a time of joy, peace and goodwill. But for some folks in the small town of Bailey Downs, it turns into something much less festive.",,,,,,,,,,,,,,
46,Cinderella,150689,6.7,3906,24.263,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.",,,,,,,,,,,,,,
47,Circle,335866,6,636,4.729,Could you trust a jury of your peers with your life? The contestants of a mysterious death game must make harrowing decisions as they strategize for survival in this psychological sci-fi thriller.,,,,,,,,,,,,,,
47,Circle,47654,4.2,5,0.858,"When remorseless killer James Bennett escapes from lockdown in a mental hospital, an FBI agent and a U.S. Marshal track the madman to his hometown, where he plans to slay a group of graduate students studying his case. But to catch their prey, the officers must plumb the mysteries of psychology, Greek mythology and more.",,,,,,,,,,,,,,
47,Circle,298084,6,2,0.6,"In the hard-boiled world, where will the soft-shelled end up? A cozy kind of extermination is on the stage and keeping a low profile. The decadence around us is nothing less than clandestine annihilation of the civil man. Yet it is carried out so well with a grinning face, it is officially sold as transition.  Now that the tamed indulgent is striped off social justice, welfare, even denied the tender love of concentration camps and slavery plantations of past centuries. At least hand them a round of rope They have high expectations from taking things in their own hands.  Circle is a peculiar story of an ordinary man caught between an untimely romance and a brave new hostile world.",,,,,,,,,,,,,,
47,Circle,563674,0,0,0.6,"‘Circle’ illustrates the devastating sorrow caused by the death of a loved one, the interim survival, and slow recovery. The film, which is the final part of a trilogy, depicts the joy of life returning and the perception of beauty and mystery in everyday life.",,,,,,,,,,,,,,
47,Circle,563340,0,0,0.6,"‘Circle’ illustrates the devastating sorrow caused by the death of a loved one, the interim survival, and slow recovery. The film, which is the final part of a trilogy, depicts the joy of life returning and the perception of beauty and mystery in everyday life.",,,,,,,,,,,,,,
47,Circle,504980,0,0,0.6,"CIRCLE is a haunting portrait of a rape survivor, caught in the devious ploys of her family.",,,,,,,,,,,,,,
48,Concussion,321741,7,1258,9.576,"A dramatic thriller based on the incredible true David vs. Goliath story of American immigrant Dr. Bennet Omalu, the brilliant forensic neuropathologist who made the first discovery of CTE, a football-related brain trauma, in a pro player and fought for the truth to be known. Omalu's emotional quest puts him at dangerous odds with one of the most powerful institutions in the world.",,,,,,,,,,,,,,
48,Concussion,156965,5.5,48,2.429,"After a blow to the head, Abby decides she can't do it anymore. Her life just can't be only about the house, the kids and the wife. She needs more: she needs to be Eleanor.",,,,,,,,,,,,,,
49,Cool Cat Saves the Kids,325712,2.2,15,1.094,"Cool Cat is the coolest cat in town. All the kids love him. Except for the bully Butch, who hates Cool Cat for his coolness. He terrorizes Cool Cat, his friends and family with threats, taunting, and the internet. Can Cool Cat face his fears and defeat the bully Derrick?",,,,,,,,,,,,,,
50,Cop Car,310133,5.8,416,5.504,Two kids find themselves in the centre of a deadly game of cat and mouse after taking a sheriff's cruiser for a joy ride.,,,,,,,,,,,,,,
51,Cowboys vs. Dinosaurs,337208,3.7,20,2.161,"After an accidental explosion at a local mine, dinosaurs emerge from the rubble to terrorize a small western town. Now, a group of gunslingers must defend their home if anyone is going to survive in a battle of cowboys versus dinosaurs.",,,,,,,,,,,,,,
52,Crimson Peak,201085,6.5,2587,11.772,"In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds… and remembers.",,,,,,,,,,,,,,
53,Cyberbully,70821,6.3,309,5.149,A woman tries to help her teenage daughter when she becomes the victim of online bullying.,,,,,,,,,,,,,,
53,Cyberbully,317144,6.4,133,4.489,"A chilling real-time thriller featuring a teenager, Casey, battling with an anonymous cyber-stalker.",,,,,,,,,,,,,,
54,Daddy's Home,274167,6,1498,8.972,"The story of a mild-mannered radio executive (Ferrell) who strives to become the best stepdad ever to his wife's two children, but complications ensue when their freewheeling, freeloading real father arrives, forcing stepdad to compete for the affection of the kids.",,,,,,,,,,,,,,
54,Daddy's Home,365984,0,0,0.6,"With a young daughter, two baby mamas, and his own mama breathing down his neck, Ronald R.C."" Carr has got more ladies in his life than he can handle! He's one hit song away from fame and fortune as a music producer", but he can't seem to find the rhythm that makes him a good, reliable father. Between his love interests scheming to get him to settle down and his unresolved issues with his own father," R.C. has got some growing up to do. It'll take finding the right harmony of love and forgiveness to be a real man and a true father.""",,,,,,,,,,,
54,Daddy's Home,281512,5,1,0.6,"Angelica is a fresh-on-the-job elementary school teacher who notices one of her students, Willow, seems troubled and different from all the other kids",,,,,,,,,,,,,,
55,The Danish Girl,306819,7.6,3040,10.393,"When Gerda Wegener asks her husband Einar to fill in as a portrait model, Einar discovers the person she's meant to be and begins living her life as Lili Elbe. Having realized her true self and with Gerda's love and support, Lili embarks on a groundbreaking journey as a transgender pioneer.",,,,,,,,,,,,,,
56,Deathgasm,323373,6.2,269,5.581,Two teenage boys unwittingly summon an ancient evil entity known as The Blind One by delving into black magic while trying to escape their mundane lives.,,,,,,,,,,,,,,
57,Descendants,277217,6.8,907,10.125,"A present-day idyllic kingdom where the benevolent teenage son of King Adam and Queen Belle offers a chance of redemption for the troublemaking offspring of Disney's classic villains: Cruella De Vil (Carlos), Maleficent (Mal), the Evil Queen (Evvie) and Jafar (Jay).",,,,,,,,,,,,,,
58,Detective Heart Of America The Final Freedom,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
59,The Devil's Candy,354216,6.3,291,6.289,A struggling painter is possessed by satanic forces after he and his young family move into their dream home in rural Texas.,,,,,,,,,,,,,,
60,The Devil's Carnival: Alleluia!,285743,6.7,7,0.6,The Devil's Carnival: Alleluia! is the second episode of The Devil's Carnival. The episode will revolve around the war between Hell and Heaven.,,,,,,,,,,,,,,
61,DISCO,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
62,Dope,308639,7.2,881,6.911,"Malcolm is carefully surviving life in a tough neighborhood in Los Angeles while juggling college applications, academic interviews, and the SAT. A chance invitation to an underground party leads him into an adventure that could allow him to go from being a geek, to being dope, to ultimately being himself.",,,,,,,,,,,,,,
62,Dope,524521,0,0,0.6,"The story tells of a series of such meetings, which radically changed the life of a sportswoman.",,,,,,,,,,,,,,
63,Do You Believe?,309425,6.9,62,2.98,"When a pastor is shaken by the visible faith of a street-corner preacher, he is reminded that true belief always requires action. His response ignites a journey that impacts everyone it touches in ways that only God could orchestrate.",,,,,,,,,,,,,,
64,The Dressmaker,298382,7,765,7.324,"In 1950s Australia, beautiful, talented dressmaker Tilly returns to her tiny hometown to right wrongs from her past. As she tries to reconcile with her mother, she starts to fall in love while transforming the fashion of the town.",,,,,,,,,,,,,,
65,Dude Bro Party Massacre 3,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
65,Dude Bro Party Massacre 3,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
66,The Duff,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
67,El Clan,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
68,Embers,358644,5.5,33,1.2,"After a global neurological epidemic, those who remain search for meaning and connection in a world without memory. Five interwoven stories each explore a different facet of life without memory in a future that has no past.",,,,,,,,,,,,,,
68,Embers,445366,0,0,0.6,"With EMBERS, Tamara Stepanyan’s first feature-length documentary, the director seeks to honour the memory of her late grandmother, whom she was named after. Stepanyan visits the elder Tamara’s hometown in Armenia, where she spends time with her grandmother’s circle of friends, who discuss their memories of daily life with Tamara, bringing to light their ideological and political viewpoints in the process. As the conversations progress, a dialogue emerges between past and present – between the Tamara of today and the Tamara of two generations ago, whose life was shaped by her experiences during World War II. Despite the absence of the film’s central subject, her presence is deeply felt through her impact on those who survived her. Stepanyan’s mourning the loss of someone close to her heart is acutely apparent; here, she faces down that sorrow with a bright tribute to a wonderful woman.",,,,,,,,,,,,,,
69,Embrace of the Serpent,336808,7.7,182,5.185,"The epic story of the first contact, encounter, approach, betrayal and, eventually, life-transcending friendship, between Karamakate, an Amazonian shaman, last survivor of his people, and two scientists that, over the course of 40 years, travel through the Amazon in search of a sacred plant that can heal them. Inspired by the journals of the first explorers of the Colombian Amazon, Theodor Koch-Grunberg and Richard Evans Schultes.",,,,,,,,,,,,,,
70,Entourage,188222,6.2,607,9.674,"Movie star Vincent Chase, together with his boys, Eric, Turtle and Johnny, are back…and back in business with super agent-turned-studio head Ari Gold. Some of their ambitions have changed, but the bond between them remains strong as they navigate the capricious and often cutthroat world of Hollywood.",,,,,,,,,,,,,,
71,Er Ist Wieder Da,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
72,Everest,253412,6.7,2570,9.582,"Inspired by the incredible events surrounding a treacherous attempt to reach the summit of the world's highest mountain, Everest"" documents the awe-inspiring journey of two different expeditions challenged beyond their limits by one of the fiercest snowstorms ever encountered by mankind. Their mettle tested by the harshest of elements found on the planet"," the climbers will face nearly impossible obstacles as a lifelong obsession becomes a breathtaking struggle for survival.""",,,,,,,,,,,,,
73,Everly,277355,5.2,296,6.07,"After she betrays a powerful mob boss, a woman matches wits and weaponry with a legion of killers who are out to collect the bounty on the heads of her and her family.",,,,,,,,,,,,,,
74,Ex Machina,264660,7.6,7094,16.631,"Caleb, a 26 year old coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl.",,,,,,,,,,,,,,
75,Fantastic Four (2015),Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
75,Fantastic Four (2015),Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
76,"Farewell, FamiKamen Rider",Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
77,Far from the Madding Crowd,250734,7,515,8.946,"Based on the literary classic by Thomas Hardy. Bathsheba Everdene, attracts three very different suitors: Gabriel Oak, a sheep farmer, captivated by her fetching willfulness; Frank Troy, a handsome and reckless Sergeant; and William Boldwood, a prosperous and mature bachelor. This timeless story of Bathsheba's choices and passions explores the nature of relationships and love – as well as the human ability to overcome hardships through resilience and perseverance.",,,,,,,,,,,,,,
78,Final Girl,277558,5.1,325,7.043,"Veronica, the new girl in town, is lured into the woods by a group of senior boys looking to make her a victim. But the boys don't know that Veronica's been trained to handle herself in surprisingly lethal ways.",,,,,,,,,,,,,,
79,The Final Girls,293970,6.5,562,5.64,"A young woman grieving the loss of her mother, a famous scream queen from the 1980s, finds herself pulled into the world of her mom's most famous movie. Reunited, the women must fight off the film's maniacal killer.",,,,,,,,,,,,,,
80,Fireworks Should We See It From The Side Or The Bottom 2017,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
80,Fireworks Should We See It From The Side Or The Bottom 2017,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
81,Focus,256591,6.8,3671,9.254,"Nicky, a veteran con artist, takes a novice named Jess under his wing. While Nicky teaches Jess the tricks of the trade, the pair become romantically involved; but, when Jess gets uncomfortably close, Nicky ends their relationship. Three years later, Nicky is in Buenos Aires working a very dangerous scheme when Jess -- now an accomplished femme fatale -- unexpectedly shows up. Her appearance throws Nicky for a loop at a time when he cannot afford to be off his game.",,,,,,,,,,,,,,
81,Focus,304315,0,0,0.6,"Poor Specimen Productions presents a Taylor Steele film featuring Kelly Slater, Rob Machado, Shane Dorian, Ross Williams, Taylor Knox, Donovan Frankenreiter, Justin Postin, Sunny Garcia and introducing Tim Curran!",,,,,,,,,,,,,,
81,Focus,342614,6,1,0.6,A normal photo shoot... or not.,,,,,,,,,,,,,,
81,Focus,437472,0,0,0.6,"A 1-minute cart ride through the mental shopping mall of attention deficit disorder.  Inspired by found sound of a shopper’s vlog, hand-drawn without a light table, and produced as part of the 10th edition of the NFB’s Hothouse apprenticeship.",,,,,,,,,,,,,,
81,Focus,277604,0,0,0.6,"You see her for the first time in the supermarket. She's the most beautiful girl you've ever seen. You go on a few dates, a couple walks and very soon, you're hanging out all the time. You tell her you love her and she loves you. Things have never felt better. But one day, you notice something about her you hadn't noticed before.",,,,,,,,,,,,,,
82,Francis: Pray For Me,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
83,Frankenstein,337029,5.9,44,2.487,"After he is artificially created, then left for dead by a husband-and-wife team of eccentric scientists, Adam is confronted with nothing but aggression and violence from the world around him. This perfect creation-turned disfigured monster must come to grips with the horrific nature of humanity.",,,,,,,,,,,,,,
84,Freaks of Nature,218784,5.7,204,5.687,"In the town of Dillford, humans, vampires and zombies were all living in peace - until the alien apocalypse arrived. Now three teenagers-one human, one vampire, and one zombie-have to team up to figure out how to get rid of the visitors.",,,,,,,,,,,,,,
85,The Gallows,299245,4.8,521,5.871,"20 years after a horrific accident during a small town school play, students at the school resurrect the failed show in a misguided attempt to honor the anniversary of the tragedy - but soon discover that some things are better left alone.",,,,,,,,,,,,,,
